"Sl No","Name","Version","Type","Group","Licenses","License Type","BOM-REF"
"1","fastapi","0.115.6","framework","","","Unknown","pkg:pypi/fastapi@0.115.6"
"2","uvicorn","0.34.0","library","","","Unknown","pkg:pypi/uvicorn@0.34.0"
"3","httpx","0.28.1","library","","","Unknown","pkg:pypi/httpx@0.28.1"
"4","requests","2.31.0","library","","","Unknown","pkg:pypi/requests@2.31.0"
"5","pymongo","4.6.1","library","","","Unknown","pkg:pypi/pymongo@4.6.1"
"6","pydantic","2.10.6","library","","","Unknown","pkg:pypi/pydantic@2.10.6"
"7","pydantic-settings","2.7.1","library","","","Unknown","pkg:pypi/pydantic-settings@2.7.1"
"8","llm-guard","0.3.15","library","","","Unknown","pkg:pypi/llm-guard@0.3.15"
"9","python-dotenv","1.0.1","library","","","Unknown","pkg:pypi/python-dotenv@1.0.1"
"10","python-json-logger","3.2.1","library","","","Unknown","pkg:pypi/python-json-logger@3.2.1"
"11","typing-extensions","4.12.2","library","","","Unknown","pkg:pypi/typing-extensions@4.12.2"
"12","orjson","3.10.14","library","","","Unknown","pkg:pypi/orjson@3.10.14"
"13","wrapt","2.1.1","library","","","Unknown","pkg:pypi/wrapt@2.1.1"
"14","websockets","16.0","library","","","Unknown","pkg:pypi/websockets@16.0"
"15","weasel","0.4.3","library","","","Unknown","pkg:pypi/weasel@0.4.3"
"16","urllib3","2.6.3","library","","","Unknown","pkg:pypi/urllib3@2.6.3"
"17","idna","3.11","library","","","Unknown","pkg:pypi/idna@3.11"
"18","charset-normalizer","3.4.4","library","","","Unknown","pkg:pypi/charset-normalizer@3.4.4"
"19","certifi","2026.1.4","library","","","Unknown","pkg:pypi/certifi@2026.1.4"
"20","annotated-types","0.7.0","library","","","Unknown","pkg:pypi/annotated-types@0.7.0"
"21","pydantic-core","2.27.2","library","","","Unknown","pkg:pypi/pydantic-core@2.27.2"
"22","typer-slim","0.24.0","library","","","Unknown","pkg:pypi/typer-slim@0.24.0"
"23","typer","0.24.0","library","","","Unknown","pkg:pypi/typer@0.24.0"
"24","click","8.3.1","library","","","Unknown","pkg:pypi/click@8.3.1"
"25","annotated-doc","0.0.4","library","","","Unknown","pkg:pypi/annotated-doc@0.0.4"
"26","rich","14.3.2","library","","","Unknown","pkg:pypi/rich@14.3.2"
"27","markdown-it-py","4.0.0","library","","","Unknown","pkg:pypi/markdown-it-py@4.0.0"
"28","mdurl","0.1.2","library","","","Unknown","pkg:pypi/mdurl@0.1.2"
"29","pygments","2.19.2","library","","","Unknown","pkg:pypi/pygments@2.19.2"
"30","shellingham","1.5.4","library","","","Unknown","pkg:pypi/shellingham@1.5.4"
"31","smart-open","7.5.0","library","","","Unknown","pkg:pypi/smart-open@7.5.0"
"32","packaging","26.0","library","","","Unknown","pkg:pypi/packaging@26.0"
"33","confection","0.1.5","library","","","Unknown","pkg:pypi/confection@0.1.5"
"34","srsly","2.5.2","library","","","Unknown","pkg:pypi/srsly@2.5.2"
"35","catalogue","2.0.10","library","","","Unknown","pkg:pypi/catalogue@2.0.10"
"36","cloudpathlib","0.23.0","library","","","Unknown","pkg:pypi/cloudpathlib@0.23.0"
"37","wasabi","1.1.3","library","","","Unknown","pkg:pypi/wasabi@1.1.3"
"38","watchfiles","1.1.1","library","","","Unknown","pkg:pypi/watchfiles@1.1.1"
"39","anyio","4.12.1","library","","","Unknown","pkg:pypi/anyio@4.12.1"
"40","uvloop","0.22.1","library","","","Unknown","pkg:pypi/uvloop@0.22.1"
"41","h11","0.16.0","library","","","Unknown","pkg:pypi/h11@0.16.0"
"42","unidiff","0.7.5","library","","","Unknown","pkg:pypi/unidiff@0.7.5"
"43","triton","3.6.0","library","","","Unknown","pkg:pypi/triton@3.6.0"
"44","transformers","5.2.0","library","","","Unknown","pkg:pypi/transformers@5.2.0"
"45","numpy","1.23.2","framework","","","Unknown","pkg:pypi/numpy@1.23.2"
"46","tokenizers","0.22.2","library","","","Unknown","pkg:pypi/tokenizers@0.22.2"
"47","huggingface-hub","1.4.1","framework","","","Unknown","pkg:pypi/huggingface-hub@1.4.1"
"48","hf-xet","1.2.0","library","","","Unknown","pkg:pypi/hf-xet@1.2.0"
"49","pyyaml","6.0.3","library","","","Unknown","pkg:pypi/pyyaml@6.0.3"
"50","tqdm","4.67.3","library","","","Unknown","pkg:pypi/tqdm@4.67.3"
"51","fsspec","2026.2.0","library","","","Unknown","pkg:pypi/fsspec@2026.2.0"
